Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3
3,790284887;53,53464322;78,48410803;117,4731395;-6,108119483;-1,597577473;6,213638647;59,3750888;78,7049677;-3,100183873;0,789405967;47,46668022;74,54848793;108,083153;-4,635293006;-5,956263895;5,487042671;60,92549313;82,27467426;0,351167636;-0,10913681;-0,255919072;0,345703022;0,700641593;0,109011257;-0,14362844;0,676511492
3,78114467;53,53854685;78,4932799;117,4799289;-6,10365406;-1,595753997;6,213941834;59,38864653;78,70841307;-3,10314648;0,796108487;47,45872879;74,55343285;108,0815497;-4,644387781;-5,952694347;5,486989484;60,93855579;82,27908069;0,358631208;-0,10914801;-0,255923287;0,345644172;0,700632112;0,108944135;-0,143579639;0,676514897
3,779994933;53,54177286;78,50806313;117,4801015;-6,101582759;-1,590591603;6,208973421;59,41557411;78,72778383;-3,106815672;0,788656983;47,4534083;74,55680625;108,0806969;-4,661621811;-5,946954859;5,484185216;60,94431333;82,28366952;0,396744576;-0,109146579;-0,255935522;0,345579487;0,70065623;0,108932238;-0,143538765;0,676500182
3,77129364;53,55234715;78,54682692;117,4758742;-6,099593465;-1,586974065;6,200438288;59,46595599;78,74337939;-3,108234259;0,807348598;47,44776282;74,57161466;108,084533;-4,678487497;-5,947947972;5,479512443;60,9866022;82,29334668;0,415245955;-0,109149244;-0,25594861;0,345504303;0,700642402;0,108761915;-0,143351135;0,67654694
3,769228912;53,55083999;78,55767217;117,4767121;-6,093423671;-1,584145092;6,196684207;59,46551026;78,74331986;-3,10850651;0,817752462;47,44513511;74,57666898;108,0832883;-4,691796342;-5,952429766;5,482802938;60,98462086;82,29191293;0,415481781;-0,109153247;-0,255954777;0,345454905;0,700646463;0,108762712;-0,143351816;0,676542743
3,756823898;53,54971001;78,5686197;117,4929627;-6,090120722;-1,581206945;6,198155681;59,47979045;78,74633163;-3,113050433;0,814781306;47,44692655;74,58074333;108,0757801;-4,704392808;-5,953462142;5,486059337;61,00251864;82,29956659;0,428778854;-0,109161605;-0,255958883;0,345410958;0,700684747;0,108689256;-0,143294344;0,676497532
3,741700609;53,5512258;78,58380808;117,519166;-6,088367991;-1,578649272;6,199204988;59,51704066;78,75694281;-3,120930225;0,814407547;47,45191885;74,58256914;108,0665456;-4,719672373;-5,952987836;5,489375345;61,04047434;82,31161993;0,448622765;-0,10916562;-0,255967946;0,345357446;0,700681681;0,108523648;-0,143164941;0,676490527
3,739561531;53,55271472;78,58807224;117,5262249;-6,085800989;-1,577569936;6,202788521;59,5202903;78,75798563;-3,121981084;0,821522906;47,44715066;74,5789281;108,0595532;-4,726835625;-5,954170847;5,494574526;61,04277724;82,31155653;0,450323282;-0,109169118;-0,255970726;0,345322264;0,700678283;0,108507521;-0,143157431;0,676488697
3,740381676;53,55375297;78,6047526;117,5247703;-6,086335102;-1,571685019;6,197194958;59,5455068;78,775897;-3,125123332;0,820828281;47,44250013;74,58053524;108,0551118;-4,728702405;-5,953249902;5,497323419;61,05128201;82,31361875;0,474117678;-0,109159061;-0,255980832;0,345276991;0,700682578;0,108492837;-0,143111094;0,676491272
3,742990856;53,55423813;78,61968346;117,5311517;-6,091346398;-1,56721872;6,190742192;59,57388465;78,78751568;-3,126914641;0,835880043;47,43605344;74,58710146;108,0562445;-4,721350547;-5,950106704;5,489911909;61,07141366;82,31486945;0,489031719;-0,109155398;-0,25598794;0,345233022;0,700658747;0,108386354;-0,143023965;0,676533986
3,748774571;53,55161954;78,62326092;117,5473092;-6,098123806;-1,565614093;6,195431713;59,57201084;78,78704823;-3,127005012;0,847033511;47,44001869;74,58826451;108,0605326;-4,711785077;-5,945419228;5,483072338;61,06759922;82,31266198;0,489715204;-0,109156246;-0,255990755;0,345206865;0,700659156;0,108393792;-0,143032925;0,676531355
3,737810505;53,55061818;78,62724981;117,572887;-6,10914119;-1,565581831;6,203882619;59,58450946;78,78963704;-3,131983648;0,839813001;47,45161655;74,58606129;108,0696081;-4,706997416;-5,941868513;5,476359007;61,08189724;82,3171282;0,502828343;-0,109161165;-0,255995178;0,345181478;0,700694224;0,108338977;-0,142980811;0,676488112
3,729632739;53,55234004;78,63355052;117,5956803;-6,121838079;-1,565629423;6,206528924;59,6034981;78,79684331;-3,13623732;0,839649135;47,45940577;74,58775306;108,0818772;-4,704702631;-5,941544102;5,477033462;61,09781519;82,32004853;0,512861787;-0,109162343;-0,256002244;0,345152802;0,700673663;0,108263851;-0,142928497;0,676496729
3,730466566;53,55077891;78,63132715;117,6011333;-6,13557834;-1,564583858;6,204706396;59,60083379;78,79666501;-3,136502083;0,842253315;47,45741405;74,59613324;108,0842752;-4,700972495;-5,939448144;5,482737755;61,09351088;82,31820159;0,512870495;-0,109164908;-0,256004208;0,345137923;0,700672841;0,108277171;-0,142941614;0,676491925
3,73139783;53,5477387;78,64608456;117,6126497;-6,153524718;-1,561143696;6,195032596;59,61575427;78,80861022;-3,139673296;0,837494084;47,45631259;74,60889615;108,0716535;-4,698297218;-5,919916142;5,482691228;61,09746325;82,3181714;0,528536939;-0,109155565;-0,256006651;0,345114858;0,700674526;0,108274741;-0,142919042;0,676494705
3,736101399;53,53677829;78,65141011;117,6312853;-6,167575567;-1,561516198;6,193723724;59,62917373;78,81498496;-3,140919279;0,841649459;47,45250617;74,61228719;108,0586513;-4,692811592;-5,879836949;5,46187826;61,10372455;82,31390926;0,540458102;-0,109150864;-0,256012685;0,345094338;0,700656818;0,10821322;-0,142890515;0,676523248
3,736333023;53,5288246;78,65566456;117,642692;-6,175948106;-1,563323575;6,201674943;59,62737085;78,81419621;-3,140788864;0,843012657;47,4531042;74,61624344;108,049358;-4,68292002;-5,837573973;5,437956568;61,10073324;82,31135716;0,542204004;-0,1091507;-0,256013276;0,345083264;0,700662603;0,108215495;-0,14289832;0,676517671
3,723334713;53,53079627;78,66267356;117,6529672;-6,180153287;-1,56541993;6,211184623;59,63379847;78,8157868;-3,144757994;0,83087965;47,45612424;74,62477436;108,0486366;-4,671270345;-5,803747104;5,415990212;61,10731977;82,31179407;0,55173146;-0,109153399;-0,256014995;0,345072534;0,700687823;0,108178093;-0,142874844;0,676489199
3,722383248;53,53784195;78,67045406;117,6627801;-6,183695013;-1,564786376;6,215308149;59,63969768;78,8181586;-3,146922871;0,83639115;47,45988132;74,63191141;108,0527288;-4,653708225;-5,781430795;5,402726468;61,11042952;82,30864606;0,555507798;-0,109157808;-0,256017165;0,345063575;0,700668571;0,108143973;-0,142864377;0,676503544
3,727035334;53,54186224;78,6821038;117,6642388;-6,185652958;-1,564101198;6,216552688;59,63616971;78,81665491;-3,14799834;0,844513607;47,45816912;74,63834695;108,0545383;-4,631549453;-5,769463931;5,394956489;61,10668989;82,30721774;0,556335411;-0,10916218;-0,256014317;0,345064598;0,70066052;0,108154057;-0,142873615;0,676510673
